                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.7839,                 4.5242,                 4.1246,                0.00411,                0.79735,                0.03904,                0.01517,                 2.3522,                 3.9268,                  4.021,                0.07028,              0.0033022,              0.0033022
                      0,                 4.0894,                 4.6992,                 3.8811,                0.06055,                0.76866,                0.19809,                0.05439,                 3.0454,                 2.9002,                 3.7792,                0.07028,              0.0033022,              0.0033022
                      1,                 1.9602,                 3.0161,                 3.2843,                 0.0051,                0.96443,                0.13424,                0.07628,                 1.7047,                 3.4075,                 3.3512,               0.040215,              0.0065698,              0.0065698
                      1,                 2.5326,                 1.7243,                 2.2644,                0.01901,                      1,                0.48259,                0.16996,                 2.2463,                  1.716,                 3.1209,               0.040215,              0.0065698,              0.0065698
                      2,                 1.4227,                 2.4287,                 2.4319,                0.00509,                 0.9612,                0.18964,                 0.1112,                  1.442,                 2.9812,                 2.7506,               0.010083,              0.0097715,              0.0097715
                      2,                 2.2668,                 1.5286,                  1.874,                0.01901,                0.99254,                0.56609,                0.22444,                 2.0716,                 1.9746,                 2.8756,               0.010083,              0.0097715,              0.0097715
                      3,                 1.1395,                 2.1698,                 1.9761,                0.00516,                0.96686,                0.21769,                0.13285,                 1.3004,                 3.1442,                 2.3421,               0.009703,               0.009703,               0.009703
                      3,                 2.0957,                 1.4127,                 1.6805,                0.01266,                0.97015,                0.50893,                0.19494,                 1.9708,                 3.3475,                 2.6872,               0.009703,               0.009703,               0.009703
                      4,                 1.0079,                 1.9191,                 1.7315,                0.00538,                0.98061,                0.19938,                0.13176,                 1.2013,                 2.8417,                   2.15,               0.009703,               0.009703,               0.009703
                      4,                 1.8962,                 1.2937,                 1.5238,                0.03095,                      1,                0.71316,                0.30378,                 1.8729,                 1.6478,                 2.5134,               0.009703,               0.009703,               0.009703
                      5,                0.91463,                 1.7465,                 1.6016,                0.00552,                0.98503,                0.30313,                0.19208,                 1.1548,                 2.3885,                 2.0074,               0.009604,               0.009604,               0.009604
                      5,                 1.7684,                   1.15,                 1.4543,                0.03106,                      1,                 0.7401,                0.30922,                 1.9597,                 1.4706,                 2.4975,               0.009604,               0.009604,               0.009604
                      6,                0.86361,                  1.616,                  1.506,                0.00583,                 0.9891,                 0.2965,                0.20401,                  1.049,                 2.3781,                 1.8261,               0.009505,               0.009505,               0.009505
                      6,                 1.6697,                 1.0711,                  1.354,                0.02588,                0.99254,                0.82648,                0.39455,                 1.7525,                 1.5632,                 2.2639,               0.009505,               0.009505,               0.009505
                      7,                0.81323,                 1.4808,                 1.4503,                0.00884,                0.95395,                0.30069,                0.20266,                 1.0595,                 2.1928,                 1.8092,               0.009406,               0.009406,               0.009406
                      7,                 1.6308,                 1.0344,                 1.3113,                0.02859,                0.99254,                0.82372,                0.40538,                 1.5629,                 1.1991,                 2.1058,               0.009406,               0.009406,               0.009406
                      8,                0.77727,                 1.4268,                 1.4003,                0.00961,                 0.9891,                0.38533,                0.27668,                 0.9819,                 2.0263,                  1.719,               0.009307,               0.009307,               0.009307
                      8,                 1.5491,                0.97019,                 1.2788,                0.02295,                      1,                0.87365,                0.42051,                 1.6078,                 1.4531,                 2.1009,               0.009307,               0.009307,               0.009307
                      9,                0.74246,                 1.3412,                 1.3553,                 0.0098,                0.98061,                0.36207,                0.26458,                0.96517,                 2.2081,                 1.6824,               0.009208,               0.009208,               0.009208
                      9,                 1.5083,                0.93632,                 1.2586,                 0.0607,                0.97761,                0.77368,                0.37562,                 1.7519,                 1.1817,                 2.2121,               0.009208,               0.009208,               0.009208
                     10,                0.71871,                 1.2821,                 1.3241,                0.02401,                0.93658,                0.40753,                0.28527,                 1.1344,                 2.1307,                 1.9017,               0.009109,               0.009109,               0.009109
                     10,                  1.466,                0.87778,                 1.2386,                0.08921,                0.96269,                 0.8222,                0.40002,                 1.7891,                 1.1219,                 2.2356,               0.009109,               0.009109,               0.009109
                     11,                0.70743,                 1.2187,                 1.2952,                0.02161,                0.94869,                0.43362,                0.31903,                 1.0313,                  2.352,                 1.7509,                0.00901,                0.00901,                0.00901
                     11,                 1.4136,                0.83446,                 1.1897,                0.07373,                0.99254,                0.85926,                0.45442,                  1.563,                 1.0549,                 2.0139,                0.00901,                0.00901,                0.00901
                     12,                0.68745,                 1.1783,                 1.2947,                0.02444,                0.96646,                0.41695,                0.29795,                0.96414,                 1.9005,                 1.6884,               0.008911,               0.008911,               0.008911
                     12,                 1.3862,                0.81934,                 1.1814,                0.08627,                0.98507,                 0.7974,                0.41934,                 1.5391,                0.98385,                 1.9913,               0.008911,               0.008911,               0.008911
                     13,                0.67381,                 1.1161,                 1.2698,                0.02048,                0.98707,                  0.454,                0.33897,                0.93738,                 1.8526,                 1.6607,               0.008812,               0.008812,               0.008812
                     13,                 1.3746,                0.80023,                 1.1649,                0.09005,                0.99254,                0.88726,                0.44716,                 1.5698,                 1.0545,                  2.023,               0.008812,               0.008812,               0.008812
                     14,                0.65246,                 1.0636,                  1.246,                 0.0397,                0.94909,                    0.4,                0.29725,                0.97946,                 2.0496,                 1.6836,               0.008713,               0.008713,               0.008713
                     14,                 1.3286,                0.76869,                 1.1601,                0.09985,                0.98507,                0.76889,                0.38456,                 1.6514,                 1.1744,                 2.1506,               0.008713,               0.008713,               0.008713
                     15,                0.64351,                 1.0188,                 1.2365,                0.02966,                0.95876,                0.47883,                0.36274,                0.97036,                 1.8046,                 1.6843,               0.008614,               0.008614,               0.008614
                     15,                  1.311,                0.74947,                 1.1393,                0.07643,                0.98507,                0.89055,                0.47855,                 1.5214,                0.91244,                 1.9677,               0.008614,               0.008614,               0.008614
                     16,                0.62176,                0.98418,                  1.205,                0.04253,                0.96643,                0.45595,                0.35322,                0.93102,                 2.0492,                 1.6358,               0.008515,               0.008515,               0.008515
                     16,                  1.289,                 0.7216,                 1.1365,                0.09191,                0.99254,                0.88999,                 0.4699,                 1.5036,                0.93232,                  2.009,               0.008515,               0.008515,               0.008515
                     17,                0.62461,                0.93016,                 1.2086,                0.04772,                0.95112,                0.46012,                 0.3616,                0.88173,                 2.0842,                 1.5929,               0.008416,               0.008416,               0.008416
