                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     17,                 1.5563,                0.91712,                 1.2889,                0.02548,                0.99254,                0.79288,                0.34789,                 1.5753,                 1.4903,                 2.0887,               0.008416,               0.008416,               0.008416
                     18,                0.97499,                 1.4968,                 1.5883,                0.01237,                0.92766,                0.30802,                0.18728,                  1.447,                 2.4466,                 2.2356,               0.008317,               0.008317,               0.008317
                     18,                  1.547,                0.90652,                 1.2693,                0.04187,                0.97015,                0.73755,                0.34746,                 1.5804,                 1.1997,                 2.0517,               0.008317,               0.008317,               0.008317
                     19,                0.94338,                 1.4447,                 1.5641,                0.01643,                0.93819,                0.33684,                 0.2172,                 1.2394,                 2.1932,                 2.0399,               0.008218,               0.008218,               0.008218
                     19,                 1.5431,                0.88427,                 1.2744,                0.04758,                0.99254,                0.84007,                0.37869,                 1.7302,                 1.3135,                 2.2653,               0.008218,               0.008218,               0.008218
                     20,                0.91275,                 1.3898,                 1.5277,                0.01237,                0.92566,                0.36443,                0.23408,                  1.303,                 2.2049,                 2.0598,               0.008119,               0.008119,               0.008119
                     20,                 1.4986,                 0.8649,                  1.244,                0.03385,                0.98507,                0.75789,                0.37563,                 1.5859,                 1.2583,                 2.0656,               0.008119,               0.008119,               0.008119
                     21,                0.88989,                 1.3673,                 1.5076,                0.01164,                0.90587,                0.25561,                0.15659,                  1.402,                 2.7835,                 2.2022,                0.00802,                0.00802,                0.00802
                     21,                 1.4616,                 0.8498,                 1.2429,                0.04132,                0.97015,                 0.7739,                0.35561,                 1.5705,                 1.2451,                 2.0916,                0.00802,                0.00802,                0.00802
                     22,                0.86654,                 1.3271,                 1.4625,                0.01447,                0.93615,                0.32792,                0.20579,                 1.3722,                 2.3192,                 2.1204,               0.007921,               0.007921,               0.007921
                     22,                 1.4673,                0.85087,                  1.226,                0.05462,                0.97015,                0.89157,                0.39772,                 1.6564,                 1.1237,                 2.1251,               0.007921,               0.007921,               0.007921
                     23,                0.86283,                 1.3202,                 1.4719,                0.01885,                0.92121,                0.39499,                0.26617,                  1.172,                 2.1935,                 1.9507,               0.007822,               0.007822,               0.007822
                     23,                 1.4528,                0.84907,                 1.2214,                0.04117,                0.97761,                0.83617,                0.42575,                 1.5116,                  1.122,                 1.9691,               0.007822,               0.007822,               0.007822
                     24,                 0.8463,                 1.2689,                 1.4575,                0.01601,                0.94263,                0.33869,                0.22595,                 1.2667,                 2.6125,                 1.9769,               0.007723,               0.007723,               0.007723
                     24,                 1.4308,                 0.8085,                 1.1937,                0.09798,                0.97761,                0.82905,                 0.4099,                 1.5906,                  1.153,                 2.0182,               0.007723,               0.007723,               0.007723
                     25,                0.84009,                 1.2341,                 1.4422,                0.01786,                0.93496,                0.34084,                0.21787,                 1.2514,                 2.5102,                 2.0103,               0.007624,               0.007624,               0.007624
                     25,                 1.3834,                0.80195,                 1.1924,                0.07591,                0.99254,                0.83774,                0.42303,                 1.5405,                 1.1016,                   2.02,               0.007624,               0.007624,               0.007624
                     26,                0.85123,                  1.231,                 1.4501,                0.01362,                0.93655,                0.28963,                0.19076,                 1.2462,                 2.5069,                 2.0259,               0.007525,               0.007525,               0.007525
                     26,                 1.3788,                0.77739,                 1.1878,                0.05838,                0.99254,                0.86836,                 0.4236,                 1.5619,                 1.1884,                 2.0935,               0.007525,               0.007525,               0.007525
                     27,                0.81571,                  1.191,                 1.4187,                0.02316,                0.92566,                 0.3866,                0.26787,                 1.2766,                 2.2957,                 1.9755,               0.007426,               0.007426,               0.007426
                     27,                 1.3506,                 0.7576,                 1.1734,                0.10509,                0.95522,                0.83663,                0.41478,                 1.6543,                 1.0916,                 2.0602,               0.007426,               0.007426,               0.007426
                     28,                0.80021,                 1.1704,                 1.4184,                0.01862,                0.94181,                0.36836,                0.25042,                 1.2777,                 2.1293,                 1.9972,               0.007327,               0.007327,               0.007327
                     28,                 1.3327,                0.75417,                 1.1687,                0.05325,                0.98507,                0.85203,                0.41398,                 1.5754,                 1.0642,                 2.0741,               0.007327,               0.007327,               0.007327
                     29,                0.79206,                  1.127,                 1.3946,                0.01884,                0.94178,                0.39954,                 0.2741,                 1.1741,                 2.1624,                 1.9102,               0.007228,               0.007228,               0.007228
                     29,                  1.319,                0.73328,                 1.1587,                0.07097,                0.99254,                0.86848,                0.43002,                 1.5586,                 1.0305,                 2.0178,               0.007228,               0.007228,               0.007228
                     30,                0.76132,                 1.1132,                 1.3738,                0.02464,                0.94303,                0.35453,                0.25378,                 1.0941,                 2.4646,                 1.8268,               0.007129,               0.007129,               0.007129
                     30,                 1.2981,                0.71755,                 1.1397,                0.09731,                0.97015,                0.86683,                0.39835,                  1.728,                 1.1898,                 2.2976,               0.007129,               0.007129,               0.007129
                     31,                0.76521,                 1.0744,                 1.3686,                0.02735,                0.93089,                0.43984,                0.31348,                 1.2054,                 1.9797,                 1.8986,                0.00703,                0.00703,                0.00703
                     31,                 1.3074,                0.71814,                 1.1453,                0.08856,                0.97015,                0.82063,                0.40086,                 1.5924,                 1.2541,                 2.0196,                0.00703,                0.00703,                0.00703
                     32,                0.77162,                 1.0927,                 1.3745,                0.02586,                0.93856,                 0.4611,                 0.3285,                 1.1276,                 2.0055,                 1.9017,               0.006931,               0.006931,               0.006931
                     32,                 1.3131,                0.72863,                  1.166,                0.07234,                0.97761,                0.88159,                0.42943,                 1.5739,                0.99344,                  2.008,               0.006931,               0.006931,               0.006931
                     33,                0.73133,                 1.0313,                 1.3458,                0.02466,                0.93047,                0.42175,                   0.29,                 1.2063,                  2.344,                 1.9196,               0.006832,               0.006832,               0.006832
                     33,                 1.2662,                0.70454,                 1.1431,                0.07585,                0.97761,                0.88978,                0.40316,                 1.7945,                   1.03,                 2.3757,               0.006832,               0.006832,               0.006832
                     34,                0.73964,                 1.0378,                 1.3411,                0.02486,                0.91917,                0.42888,                0.29888,                 1.1946,                 2.3587,                 1.9058,               0.006733,               0.006733,               0.006733
                     34,                  1.278,                0.70026,                 1.1292,                0.07864,                0.97015,                0.82436,                0.40709,                 1.5323,                  1.085,                 2.0161,               0.006733,               0.006733,               0.006733
                     35,                0.71865,                0.99546,                 1.3254,                0.03107,                0.92282,                0.39545,                0.28005,                 1.0575,                 2.4763,                 1.7853,               0.006634,               0.006634,               0.006634
                     35,                 1.2403,                0.67895,                 1.1295,                0.09864,                0.97761,                0.86462,                0.42374,                 1.5933,                0.96296,                 2.0675,               0.006634,               0.006634,               0.006634
                     36,                 0.7224,                0.98589,                 1.3211,                0.03298,                0.92036,                0.37728,                0.27165,                  1.062,                  2.379,                 1.7801,               0.006535,               0.006535,               0.006535
                     36,                 1.2497,                0.69267,                 1.1297,                0.06452,                0.97015,                0.77793,                0.38418,                 1.6279,                 1.0604,                 2.1035,               0.006535,               0.006535,               0.006535
                     37,                0.71461,                0.98532,                 1.3169,                0.02275,                0.93655,                0.39267,                0.27707,                 1.1142,                 2.2799,                 1.8166,               0.006436,               0.006436,               0.006436
                     37,                 1.2197,                 0.6585,                 1.1055,                0.08566,                0.98507,                0.89722,                0.46239,                 1.5258,                0.89758,                  1.993,               0.006436,               0.006436,               0.006436
                     38,                0.70694,                0.97111,                 1.3131,                0.03896,                0.91433,                0.43061,                0.30224,                  1.218,                 2.4612,                 1.9092,               0.006337,               0.006337,               0.006337
                     38,                 1.2149,                0.66094,                 1.1122,                0.11285,                0.97015,                0.87981,                0.42709,                 1.5985,                0.98722,                 2.0142,               0.006337,               0.006337,               0.006337
